ID,Epic,Title,Priority,Sprint,Points,Dependencies,Acceptance criteria
BENCH-001,Benchmark,Implement provider-independent benchmark contract,P0,3,3,DATA-002,"Benchmark can be supplied or disabled without changing portfolio calculations"
BENCH-002,Benchmark,Normalize portfolio and MASI TR to 100,P0,3,5,BENCH-001|PERF-002,"Both series begin on the same valid analytical date"
UI-002,Dashboard,Build performance and benchmark charts,P0,3,8,PERF-005|BENCH-002,"Charts include accessible table summary freshness and unavailable states"
QUEUE-001,Jobs,Create PGMQ queues and transactional outbox,P0,1,5,DB-001,"Committed mutations enqueue once and rolled-back mutations enqueue nothing"
QUEUE-002,Jobs,Create Node worker consumer with leases and retries,P0,1,5,QUEUE-001,"Crash and retry do not duplicate side effects"
MARKET-001,Market Data,Define raw provider contracts and schemas,P0,4,5,DATA-001,"Contract validates security prices corporate actions and benchmark payloads"
MARKET-002,Market Data,Implement deterministic mock provider,P0,0,3,MARKET-001,"All pipeline states can be tested without licensed data"
MARKET-003,Market Data,Store immutable raw batches and hashes,P0,4,5,MARKET-001,"Duplicate identical batch is recognized and raw content cannot be overwritten"
MARKET-004,Market Data,Normalize instruments dates and prices,P0,4,8,MARKET-003,"Normalized output is provider-independent and invalid rows are isolated"
MARKET-005,Market Data,Implement validation and anomaly rules,P0,4,8,MARKET-004,"Coverage duplicates stale values and abnormal moves produce explicit results"
MARKET-006,Market Data,Implement quarantine and admin review,P0,4,5,MARKET-005,"Blocked lot cannot publish until authorized resolution"
MARKET-007,Market Data,Publish validated lot atomically,P0,4,8,MARKET-006,"Readers see either the previous or complete new lot never a partial set"
MARKET-008,Market Data,Keep last valid price and freshness status,P0,4,5,MARKET-007,"Missing new value preserves last close and shows its source date"
MARKET-009,Market Data,Schedule EOD pipeline with monitored cron,P0,4,5,QUEUE-002|MARKET-007,"Three staged sessions complete automatically and failures alert admin"
MARKET-010,Market Data,Implement licensed production provider adapter,P0,4,8,DATA-001|MARKET-001,"Adapter passes contract suite and usage matches written rights"
RISK-001,Risk,Implement position and sector concentration,P1,5,5,PERF-001,"Top 1 top 5 cash and sector weights total consistently"
RISK-002,Risk,Implement annualized volatility with sufficiency rule,P1,5,8,PERF-001,"Fewer than 60 valid observations returns data insufficient"
RISK-003,Risk,Implement maximum drawdown,P1,5,5,PERF-001,"Peak trough and recovery dates match reference series"
RISK-004,Risk,Implement correlation matrix with missing-data policy,P1,5,8,PERF-001,"Pairwise output states observation count and no-trade-day convention"
COMPANY-001,Companies,Build BVC security directory and search,P1,5,5,MARKET-007,"All supported equities are searchable by name and ticker"
COMPANY-002,Companies,Build company summary page,P1,5,8,COMPANY-001,"Every metric shows source date and unavailable state"
SCREEN-001,Screener,Build non-advisory base screener,P1,5,8,COMPANY-002,"Sector performance dividend and availability filters work without buy ranking"
ADMIN-001,Administration,Build ingestion run dashboard,P0,4,8,MARKET-006,"Admin sees status coverage anomalies logs and retry action"
ADMIN-002,Administration,Implement dual-sensitive correction workflow,P0,6,8,ADMIN-001,"Correction records proposer approver reason before and after"
HIST-001,Historical Positions,Implement five-year opening position boundary,P0,6,8,PERF-001,"Opening quantity and boundary price follow approved rules"
HIST-002,Historical Positions,Implement five-session review and provisional price,P0,6,8,HIST-001|ADMIN-002,"Delayed price flags review and uses dated pre-boundary provisional close"
RECALC-001,Recalculation,Implement scoped versioned recalculation,P0,6,8,QUEUE-002|ADMIN-002,"Old snapshots remain and all dependent metrics regenerate once"
NOTIF-001,Notifications,Create before-and-after recalculation notice,P0,6,8,RECALC-001,"Affected metrics reason source and dates remain prominent until acknowledgment"
NOTIF-002,Notifications,Implement view-only acknowledgment semantics,P0,6,5,NOTIF-001,"Button activates after details open and records view without acceptance wording"
SUPPORT-001,Support,Create linked issue from recalculation,P1,6,8,NOTIF-001,"Issue links portfolio security recalculation and audit with unique case number"
SUPPORT-002,Support,Implement trackable case statuses and comments,P1,6,8,SUPPORT-001,"User sees status history comments and material notifications"
I18N-001,Internationalization,Establish FR AR translation framework,P0,1,5,FOUND-001,"No user-visible functional string bypasses translations"
I18N-002,Internationalization,Implement and visually test RTL shell,P0,1,5,I18N-001,"Navigation forms tables and charts remain usable in Arabic"
A11Y-001,Accessibility,Establish automated and manual accessibility checks,P0,1,3,FOUND-003,"Critical flows pass keyboard labels contrast and automated audit"
SEC-001,Security,Rate-limit authentication and sensitive mutations,P0,7,5,AUTH-001,"Repeated abuse is blocked without exposing account existence"
SEC-002,Security,Validate private attachments and signed access,P1,6,5,SUPPORT-001,"Invalid types and oversize files fail and URLs expire"
SEC-003,Security,Run authorization and dependency security review,P0,7,8,DB-003|AUTH-003,"No unresolved critical finding remains"
OPS-001,Operations,Implement structured logs and correlation IDs,P0,1,5,FOUND-004,"Request job ingestion and recalculation identifiers correlate end to end"
OPS-002,Operations,Create business metrics and alerts,P0,4,5,OPS-001|MARKET-009,"Stale data queue failure anomaly age and recalculation failure alert correctly"
OPS-003,Operations,Configure backups and retention,P0,7,5,DB-001,"Backup completes on schedule with documented retention"
OPS-004,Operations,Perform and document restoration test,P0,7,8,OPS-003,"Staging restore meets initial RPO and RTO targets"
PERFQA-001,Quality,Load-test daily portfolio recalculation,P0,7,8,RECALC-001,"Target portfolio volume finishes inside operational window without corruption"
E2E-002,Quality,Test full FR and AR investor journeys,P0,7,8,I18N-002|UI-002,"Registration portfolio operations dashboard and notices pass both locales"
E2E-003,Quality,Test failed ingestion and correction journey,P0,7,8,ADMIN-002|RECALC-001,"Invalid batch quarantine approval recalculation and user notice pass"
LAUNCH-001,Launch,Prepare closed beta environment and runbook,P0,7,5,SEC-003|OPS-004,"Rollback incident contacts and daily checks are executable"
LAUNCH-002,Launch,Complete public go-no-go review,P0,7,3,LAUNCH-001|LEGAL-002|DATA-001,"Every mandatory gate is evidenced and formally approved"
EXPORT-001,Exports,Export user transactions as CSV,P1,Post-beta,5,TX-004,"Export is complete localized and protected by ownership checks"
IMPORT-001,Future,Import broker statements from CSV,P2,Post-MVP,13,EXPORT-001,"Mapped preview validation and reversible import are supported"
